,project_id,year_start,year_finish,sector,total_ammount,province,duration_days,status,region
354,162714,2021,2023,Water and Sewer,46888987.0,buenos aires,721,In progress,Buenos Aires
355,162715,2021,2023,Water and Sewer,803549979.0,buenos aires,787,In progress,Buenos Aires
356,162719,2022,2022,Water and Sewer,65931755.0,buenos aires,210,In progress,Buenos Aires
357,162725,2020,2020,Water and Sewer,3913749.0,ciudad autónoma de buenos aires,216,Finished,Buenos Aires
358,162737,2020,2020,Water and Sewer,3913749.0,ciudad autónoma de buenos aires,216,Finished,Buenos Aires
359,162738,2020,2020,Water and Sewer,6064291.0,ciudad autónoma de buenos aires,181,Finished,Buenos Aires
360,162739,2020,2020,Water and Sewer,7370185.0,ciudad autónoma de buenos aires,181,Finished,Buenos Aires
361,162740,2020,2020,Water and Sewer,10254069.0,ciudad autónoma de buenos aires,150,Finished,Buenos Aires
362,162741,2020,2020,Water and Sewer,4691335.0,ciudad autónoma de buenos aires,150,Finished,Buenos Aires
363,162742,2020,2020,Water and Sewer,550000.0,ciudad autónoma de buenos aires,51,Finished,Buenos Aires
364,162743,2020,2021,Water and Sewer,7694770.0,ciudad autónoma de buenos aires,133,Finished,Buenos Aires
365,162744,2020,2020,Water and Sewer,1200000.0,ciudad autónoma de buenos aires,73,Finished,Buenos Aires
